date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,naik/turun
2022-04-05T00:00:00,4540,4550,4550,4550,4500,4520,-20,52172300,2.36E+11,9123,2375.4,4520,4004400,4510,38100,99062216600,99062216600,47401270643,22665500,21509700,,3638641,16431866820,7,Turun
2022-04-06T00:00:00,4520,4490,4490,4500,4420,4430,-90,108368800,4.83E+11,15650,2328.1,4440,101400,4430,552100,99062216600,99062216600,47401270643,55637400,48436100,,3890312,17350870985,35,Turun
2022-04-07T00:00:00,4430,4450,4450,4540,4440,4540,110,143921800,6.50E+11,11190,2385.9,4540,5289900,4530,20100,99062216600,99062216600,47401270643,63906100,93834400,,4377596,19568888800,15,Naik
2022-04-08T00:00:00,4540,4580,4580,4610,4560,4580,40,161974500,7.42E+11,11342,2406.9,4580,7686400,4570,8600,99062216600,99062216600,47401270643,76340600,139743100,,11227394,51099759084,12,Naik
2022-04-11T00:00:00,4580,4610,4600,4610,4550,4590,10,90521500,4.14E+11,9346,2412.2,4590,1931900,4580,116000,99062216600,99062216600,47401270643,22560400,58818300,,20979716,96070550520,48,Naik
2022-04-12T00:00:00,4590,4620,4620,4630,4580,4630,40,187948000,8.66E+11,10112,2433.2,4630,4142500,4620,83100,99062216600,99062216600,47401270643,88430400,161825100,,60963003,2.79E+11,14,Naik
2022-04-13T00:00:00,4630,4700,4690,4720,4650,4690,60,196864200,9.24E+11,12019,2464.7,4700,517300,4690,5513700,99062216600,99062216600,47401270643,40198200,129008800,,55333700,2.56E+11,37,Naik
2022-04-14T00:00:00,4690,4700,4710,4730,4660,4680,-10,112735200,5.29E+11,7865,2459.5,4690,16030700,4680,5386800,99062216600,99062216600,47401270643,47012700,101609500,,33653988,1.58E+11,26,Turun
2022-04-18T00:00:00,4680,4720,4720,4730,4690,4710,30,120778200,5.69E+11,7200,2475.2,4720,1684800,4710,6013500,99062216600,99062216600,47401270643,22373700,87043900,,7709944,36198184940,31,Naik
2022-04-19T00:00:00,4710,4740,4720,4750,4680,4680,-30,92268300,4.33E+11,7770,2459.5,4700,3023900,4680,357500,99062216600,99062216600,47401270643,36542300,63146600,,29356437,1.38E+11,94,Turun
2022-04-20T00:00:00,4680,4680,4680,4690,4620,4630,-50,88360900,4.11E+11,10719,2433.2,4640,4100,4630,3048300,99062216600,99062216600,47401270643,50018200,37712000,,5821402,27094569450,19,Turun
2022-04-21T00:00:00,4630,4620,4620,4670,4600,4620,-10,97575800,4.51E+11,9398,2427.9,4630,500,4620,101800,99062216600,99062216600,47401270643,55624300,64240200,,21367563,99283245119,41,Turun
2022-04-22T00:00:00,4620,4620,4620,4680,4580,4620,0,101299100,4.68E+11,10548,2427.9,4630,1690300,4620,2300,99062216600,99062216600,47401270643,42939100,62751200,,38631238,1.78E+11,26,Turun
2022-04-25T00:00:00,4620,4610,4600,4720,4580,4710,90,92045500,4.29E+11,9245,2475.2,4710,5634800,4700,76700,99062216600,99062216600,47401270643,40021300,27729600,,8053014,37305339680,24,Naik
2022-04-26T00:00:00,4710,4680,4670,4760,4670,4760,50,85945800,4.07E+11,10665,2501.5,4760,482500,4750,81000,99062216600,99062216600,47401270643,40115200,57567700,,59894,283090750,28,Naik
2022-04-27T00:00:00,4760,4720,4750,4790,4720,4770,10,136485600,6.50E+11,10355,2506.8,4770,8210300,4760,66900,99062216600,99062216600,47401270643,58681900,115722800,,42726587,2.03E+11,29,Naik
2022-04-28T00:00:00,4770,4850,4820,4850,4620,4620,-150,198484800,9.28E+11,23449,2427.9,4630,2100,4620,948500,99062216600,99062216600,47401270643,149135200,89385200,,18924251,88750829690,29,Turun
